order,taoble_name_cn,taoble_name,column_name_CN,column_name,column_type,column_related,notes
1.2.6,,AShareFinancialIndicator,有形资产,S_FA_TANGIBLEASSET,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,营运资金,S_FA_WORKINGCAPITAL,"NUMBER(20,4)",,
1.2.6,,AShareFinancialIndicator,营运流动资本,S_FA_NETWORKINGCAPITAL,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,全部投入资本,S_FA_INVESTCAPITAL,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,留存收益,S_FA_RETAINEDEARNINGS,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,基本每股收益,S_FA_EPS_BASIC,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,稀释每股收益,S_FA_EPS_DILUTED,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,期末摊薄每股收益,S_FA_EPS_DILUTED2,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,每股净资产,S_FA_BPS,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,每股经营活动产生的现金流量净额,S_FA_OCFPS,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,每股营业总收入,S_FA_GRPS,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,每股营业收入,S_FA_ORPS,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,每股资本公积,S_FA_SURPLUSCAPITALPS,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,每股盈余公积,S_FA_SURPLUSRESERVEPS,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,每股未分配利润,S_FA_UNDISTRIBUTEDPS,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,每股留存收益,S_FA_RETAINEDPS,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,每股现金流量净额,S_FA_CFPS,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,每股息税前利润,S_FA_EBITPS,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,每股企业自由现金流量,S_FA_FCFFPS,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,每股股东自由现金流量,S_FA_FCFEPS,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,销售净利率,S_FA_NETPROFITMARGIN,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,销售毛利率,S_FA_GROSSPROFITMARGIN,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,销售成本率,S_FA_COGSTOSALES,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,销售期间费用率,S_FA_EXPENSETOSALES,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,净利润/营业总收入,S_FA_PROFITTOGR,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,销售费用/营业总收入,S_FA_SALEEXPENSETOGR,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,管理费用/营业总收入,S_FA_ADMINEXPENSETOGR,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,财务费用/营业总收入,S_FA_FINAEXPENSETOGR,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,资产减值损失/营业总收入,S_FA_IMPAIRTOGR_TTM,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,营业总成本/营业总收入,S_FA_GCTOGR,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,营业利润/营业总收入,S_FA_OPTOGR,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,息税前利润/营业总收入,S_FA_EBITTOGR,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,净资产收益率,S_FA_ROE,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,净资产收益率(扣除非经常损益),S_FA_ROE_DEDUCTED,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,总资产报酬率,S_FA_ROA2,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,总资产净利率,S_FA_ROA,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,投入资本回报率,S_FA_ROIC,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,年化净资产收益率,S_FA_ROE_YEARLY,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,年化总资产报酬率,S_FA_ROA2_YEARLY,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,平均净资产收益率(增发条件),S_FA_ROE_AVG,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,经营活动净收益/利润总额,S_FA_OPERATEINCOMETOEBT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,价值变动净收益/利润总额,S_FA_INVESTINCOMETOEBT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,营业外收支净额/利润总额,S_FA_NONOPERATEPROFITTOEBT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,所得税/利润总额,S_FA_TAXTOEBT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,扣除非经常损益后的净利润/净利润,S_FA_DEDUCTEDPROFITTOPROFIT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,销售商品提供劳务收到的现金/营业收入,S_FA_SALESCASHINTOOR,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,经营活动产生的现金流量净额/营业收入,S_FA_OCFTOOR,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,经营活动产生的现金流量净额/经营活动净收益,S_FA_OCFTOOPERATEINCOME,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,资本支出/折旧和摊销,S_FA_CAPITALIZEDTODA,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,资产负债率,S_FA_DEBTTOASSETS,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,权益乘数,S_FA_ASSETSTOEQUITY,"NUMBER(20,4)",,
1.2.6,,AShareFinancialIndicator,权益乘数(用于杜邦分析),S_FA_DUPONT_ASSETSTOEQUITY,"NUMBER(20,4)",,
1.2.6,,AShareFinancialIndicator,流动资产/总资产,S_FA_CATOASSETS,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,非流动资产/总资产,S_FA_NCATOASSETS,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,有形资产/总资产,S_FA_TANGIBLEASSETSTOASSETS,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,带息债务/全部投入资本,S_FA_INTDEBTTOTOTALCAP,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,归属于母公司的股东权益/全部投入资本,S_FA_EQUITYTOTOTALCAPITAL,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,流动负债/负债合计,S_FA_CURRENTDEBTTODEBT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,非流动负债/负债合计,S_FA_LONGDEBTODEBT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,流动比率,S_FA_CURRENT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,速动比率,S_FA_QUICK,"NUMBER(20,4)",,
1.2.6,,AShareFinancialIndicator,保守速动比率,S_FA_CASHRATIO,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,经营活动产生的现金流量净额/流动负债,S_FA_OCFTOSHORTDEBT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,产权比率,S_FA_DEBTTOEQUITY,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,归属于母公司的股东权益/负债合计,S_FA_EQUITYTODEBT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,归属于母公司的股东权益/带息债务,S_FA_EQUITYTOINTERESTDEBT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,有形资产/负债合计,S_FA_TANGIBLEASSETTODEBT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,有形资产/带息债务,S_FA_TANGASSETTOINTDEBT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,有形资产/净债务,S_FA_TANGIBLEASSETTONETDEBT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,经营活动产生的现金流量净额/负债合计,S_FA_OCFTODEBT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,经营活动产生的现金流量净额/带息债务,S_FA_OCFTOINTERESTDEBT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,经营活动产生的现金流量净额/净债务,S_FA_OCFTONETDEBT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,已获利息倍数(EBIT/利息费用),S_FA_EBITTOINTEREST,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,长期债务与营运资金比率,S_FA_LONGDEBTTOWORKINGCAPITAL,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,息税折旧摊销前利润/负债合计,S_FA_EBITDATODEBT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,营业周期,S_FA_TURNDAYS,"NUMBER(20,4)",,天
1.2.6,,AShareFinancialIndicator,存货周转天数,S_FA_INVTURNDAYS,"NUMBER(20,4)",,天
1.2.6,,AShareFinancialIndicator,应收账款周转天数,S_FA_ARTURNDAYS,"NUMBER(20,4)",,天
1.2.6,,AShareFinancialIndicator,存货周转率,S_FA_INVTURN,"NUMBER(20,4)",,次
1.2.6,,AShareFinancialIndicator,应收账款周转率,S_FA_ARTURN,"NUMBER(20,4)",,次
1.2.6,,AShareFinancialIndicator,流动资产周转率,S_FA_CATURN,"NUMBER(20,4)",,次
1.2.6,,AShareFinancialIndicator,固定资产周转率,S_FA_FATURN,"NUMBER(20,4)",,次
1.2.6,,AShareFinancialIndicator,总资产周转率,S_FA_ASSETSTURN,"NUMBER(20,4)",,次
1.2.6,,AShareFinancialIndicator,年化总资产净利率,S_FA_ROA_YEARLY,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,总资产净利率(杜邦分析),S_FA_DUPONT_ROA,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,固定资产合计,S_STM_BS,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,扣除财务费用前营业利润,S_FA_PREFINEXPENSE_OPPROFIT,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,非营业利润,S_FA_NONOPPROFIT,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,营业利润／利润总额,S_FA_OPTOEBT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,非营业利润／利润总额,S_FA_NOPTOEBT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,经营活动产生的现金流量净额／营业利润,S_FA_OCFTOPROFIT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,货币资金／流动负债,S_FA_CASHTOLIQDEBT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,货币资金／带息流动负债,S_FA_CASHTOLIQDEBTWITHINTEREST,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,营业利润／流动负债,S_FA_OPTOLIQDEBT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,营业利润／负债合计,S_FA_OPTODEBT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,年化投入资本回报率,S_FA_ROIC_YEARLY,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,固定资产合计周转率,S_FA_TOT_FATURN,"NUMBER(20,4)",,次
1.2.6,,AShareFinancialIndicator,利润总额／营业收入,S_FA_PROFITTOOP,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.经营活动净收益,S_QFA_OPERATEINCOME,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,单季度.价值变动净收益,S_QFA_INVESTINCOME,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,单季度.扣除非经常损益后的净利润,S_QFA_DEDUCTEDPROFIT,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,单季度.每股收益,S_QFA_EPS,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,单季度.销售净利率,S_QFA_NETPROFITMARGIN,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.销售毛利率,S_QFA_GROSSPROFITMARGIN,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.销售期间费用率,S_QFA_EXPENSETOSALES,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.净利润／营业总收入,S_QFA_PROFITTOGR,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.销售费用／营业总收入,S_QFA_SALEEXPENSETOGR,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.管理费用／营业总收入,S_QFA_ADMINEXPENSETOGR,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.财务费用／营业总收入,S_QFA_FINAEXPENSETOGR,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.资产减值损失／营业总收入,S_QFA_IMPAIRTOGR_TTM,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.营业总成本／营业总收入,S_QFA_GCTOGR,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.营业利润／营业总收入,S_QFA_OPTOGR,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.净资产收益率,S_QFA_ROE,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.净资产收益率(扣除非经常损益),S_QFA_ROE_DEDUCTED,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.总资产净利润,S_QFA_ROA,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.经营活动净收益／利润总额,S_QFA_OPERATEINCOMETOEBT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.价值变动净收益／利润总额,S_QFA_INVESTINCOMETOEBT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.扣除非经常损益后的净利润／净利润,S_QFA_DEDUCTEDPROFITTOPROFIT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.销售商品提供劳务收到的现金／营业收入,S_QFA_SALESCASHINTOOR,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.经营活动产生的现金流量净额／营业收入,S_QFA_OCFTOSALES,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.经营活动产生的现金流量净额／经营活动净收益,S_QFA_OCFTOOR,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,同比增长率-基本每股收益(%),S_FA_YOYEPS_BASIC,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,同比增长率-稀释每股收益(%),S_FA_YOYEPS_DILUTED,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,同比增长率-每股经营活动产生的现金流量净额(%),S_FA_YOYOCFPS,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,同比增长率-营业利润(%),S_FA_YOYOP,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,同比增长率-利润总额(%),S_FA_YOYEBT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,同比增长率-归属母公司股东的净利润(%),S_FA_YOYNETPROFIT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,同比增长率-归属母公司股东的净利润-扣除非经常损益(%),S_FA_YOYNETPROFIT_DEDUCTED,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,同比增长率-经营活动产生的现金流量净额(%),S_FA_YOYOCF,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,同比增长率-净资产收益率(摊薄)(%),S_FA_YOYROE,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,相对年初增长率-每股净资产(%),S_FA_YOYBPS,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,相对年初增长率-资产总计(%),S_FA_YOYASSETS,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,相对年初增长率-归属母公司的股东权益(%),S_FA_YOYEQUITY,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,营业总收入同比增长率(%),S_FA_YOY_TR,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,营业收入同比增长率(%),S_FA_YOY_OR,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.营业总收入同比增长率(%),S_QFA_YOYGR,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.营业总收入环比增长率(%),S_QFA_CGRGR,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.营业收入同比增长率(%),S_QFA_YOYSALES,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.营业收入环比增长率(%),S_QFA_CGRSALES,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.营业利润同比增长率(%),S_QFA_YOYOP,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.营业利润环比增长率(%),S_QFA_CGROP,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.净利润同比增长率(%),S_QFA_YOYPROFIT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.净利润环比增长率(%),S_QFA_CGRPROFIT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.归属母公司股东的净利润同比增长率(%),S_QFA_YOYNETPROFIT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,单季度.归属母公司股东的净利润环比增长率(%),S_QFA_CGRNETPROFIT,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,净资产(同比增长率),S_FA_YOY_EQUITY,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,研发费用,RD_EXPENSE,"NUMBER(20,4)",,元
1.2.6,,AShareFinancialIndicator,加权平均净资产收益率,WAA_ROE,"NUMBER(20,4)",,%
1.2.6,,AShareFinancialIndicator,公司ID,S_INFO_COMPCODE,VARCHAR2(10),,
1.3.1,中国A股股权关系,AShareEquityRelationships,对象ID,OBJECT_ID,VARCHAR2(100),,
1.3.1,中国A股股权关系,AShareEquityRelationships,Wind代码,S_INFO_WINDCODE,VARCHAR2(40),,
1.3.1,中国A股股权关系,AShareEquityRelationships,公告日期,ANN_DT,VARCHAR2(8),,
1.3.1,中国A股股权关系,AShareEquityRelationships,截止日期,ENDDATE,VARCHAR2(8),,
1.3.1,中国A股股权关系,AShareEquityRelationships,公司名称,S_INFO_COMPNAME,VARCHAR2(200),,
1.3.1,中国A股股权关系,AShareEquityRelationships,公司ID,S_INFO_COMPCODE,VARCHAR2(10),,
1.3.1,中国A股股权关系,AShareEquityRelationships,公司与披露方关系,RELATION_TYPE,VARCHAR2(40),,公司本身 公司股东 公司控股参股公司 公司其它关联方
1.3.1,中国A股股权关系,AShareEquityRelationships,股东名称,S_HOLDER_NAME,VARCHAR2(200),,
1.3.1,中国A股股权关系,AShareEquityRelationships,股东ID,S_HOLDER_CODE,VARCHAR2(10),,
1.3.1,中国A股股权关系,AShareEquityRelationships,股东类型,S_HOLDER_TYPE,"NUMBER(5,0)",,1:个人 2:公司
1.3.1,中国A股股权关系,AShareEquityRelationships,持股比例(%),S_HOLDER_PCT,"NUMBER(20,4)",,
1.3.1,中国A股股权关系,AShareEquityRelationships,股东是否为实际控制人,IS_ACTUALCONTROLLER,"NUMBER(5,0)",,0:否 1:是
1.3.1,中国A股股权关系,AShareEquityRelationships,实际控制人类型,ACTUALCONTROLLER_TYPE,VARCHAR2(80),,大学 地方国有企业 地方国资委 地方政府 个人 国资委 集体企业 境外 其他 职工持股会(工会) 中央国家机关 中央国有企业
1.3.1,中国A股股权关系,AShareEquityRelationships,股东是否为公布实际控制人,ACTUALCONTROLLER_IS_ANN,"NUMBER(5,0)",,0:否 1:是
1.3.1,中国A股股权关系,AShareEquityRelationships,实际控制人简介,ACTUALCONTROLLER_INTRO,VARCHAR2(1000),,
1.3.1,中国A股股权关系,AShareEquityRelationships,股东是否为公布控股股东,IS_CONTROLLING_SHAREHOLDERS,"NUMBER(1,0)",,
1.3.2,中国A股流通股东,AShareFloatHolder,对象ID,OBJECT_ID,VARCHAR2(100),,
1.3.2,中国A股流通股东,AShareFloatHolder,Wind代码,S_INFO_WINDCODE,VARCHAR2(40),,
1.3.2,中国A股流通股东,AShareFloatHolder,公告日期,ANN_DT,VARCHAR2(8),,
1.3.2,中国A股流通股东,AShareFloatHolder,截止日期,S_HOLDER_ENDDATE,VARCHAR2(8),,
1.3.2,中国A股流通股东,AShareFloatHolder,股东类型,S_HOLDER_HOLDERCATEGORY,VARCHAR2(1),,1:个人;2:公司
1.3.2,中国A股流通股东,AShareFloatHolder,持有人,S_HOLDER_NAME,VARCHAR2(300),,
1.3.2,中国A股流通股东,AShareFloatHolder,数量（股）,S_HOLDER_QUANTITY,"NUMBER(20,4)",,
1.3.2,中国A股流通股东,AShareFloatHolder,持有人（容错后）,S_HOLDER_WINDNAME,VARCHAR2(200),,
1.3.2,中国A股流通股东,AShareFloatHolder,报告期,REPORT_PERIOD,VARCHAR2(8),,
1.3.3,中国A股前十大股东,AShareInsideHolder,对象ID,OBJECT_ID,VARCHAR2(100),,
1.3.3,中国A股前十大股东,AShareInsideHolder,Wind代码,S_INFO_WINDCODE,VARCHAR2(40),,
1.3.3,中国A股前十大股东,AShareInsideHolder,公告日期,ANN_DT,VARCHAR2(8),,
1.3.3,中国A股前十大股东,AShareInsideHolder,截止日期,S_HOLDER_ENDDATE,VARCHAR2(8),,
1.3.3,中国A股前十大股东,AShareInsideHolder,股东类型,S_HOLDER_HOLDERCATEGORY,VARCHAR2(1),,1:个人;2:公司
1.3.3,中国A股前十大股东,AShareInsideHolder,股东名称,S_HOLDER_NAME,VARCHAR2(100),,容错后的名称
1.3.3,中国A股前十大股东,AShareInsideHolder,持股数量,S_HOLDER_QUANTITY,"NUMBER(20,4)",,
1.3.3,中国A股前十大股东,AShareInsideHolder,持股比例,S_HOLDER_PCT,"NUMBER(20,4)",,
1.3.3,中国A股前十大股东,AShareInsideHolder,持股性质代码,S_HOLDER_SHARECATEGORY,VARCHAR2(40),,
1.3.3,中国A股前十大股东,AShareInsideHolder,持有限售股份（非流通股）数量,S_HOLDER_RESTRICTEDQUANTITY,"NUMBER(20,4)",,
1.3.3,中国A股前十大股东,AShareInsideHolder,股东名称,S_HOLDER_ANAME,VARCHAR2(100),,公布的名称
1.3.3,中国A股前十大股东,AShareInsideHolder,关联方序号,S_HOLDER_SEQUENCE,VARCHAR2(200),,同一组关联股东为同一序号
1.3.3,中国A股前十大股东,AShareInsideHolder,持股性质,S_HOLDER_SHARECATEGORYNAME,VARCHAR2(40),,
1.3.3,中国A股前十大股东,AShareInsideHolder,股东说明,S_HOLDER_MEMO,VARCHAR2(1500),,
1.3.3,中国A股前十大股东,AShareInsideHolder,公司ID,S_INFO_COMPCODE,VARCHAR2(10),,
1.3.3,中国A股前十大股东,AShareInsideHolder,报告期,REPORT_PERIOD,VARCHAR2(10),,
1.3.4,中国A股重要股东增减持,AShareMjrHolderTrade,对象ID,OBJECT_ID,VARCHAR2(100),,
1.3.4,中国A股重要股东增减持,AShareMjrHolderTrade,Wind代码,S_INFO_WINDCODE,VARCHAR2(40),,
1.3.4,中国A股重要股东增减持,AShareMjrHolderTrade,公告日期,ANN_DT,VARCHAR2(8),,
1.3.4,中国A股重要股东增减持,AShareMjrHolderTrade,变动起始日期,TRANSACT_STARTDATE,VARCHAR2(8),,
1.3.4,中国A股重要股东增减持,AShareMjrHolderTrade,变动截至日期,TRANSACT_ENDDATE,VARCHAR2(8),,
1.3.4,中国A股重要股东增减持,AShareMjrHolderTrade,持有人,HOLDER_NAME,VARCHAR2(200),,
1.3.4,中国A股重要股东增减持,AShareMjrHolderTrade,持有人类型,HOLDER_TYPE,VARCHAR2(1),,1:个人;2:公司;3:高管
1.3.4,中国A股重要股东增减持,AShareMjrHolderTrade,买卖方向,TRANSACT_TYPE,VARCHAR2(4),,1:增持;2:减持
1.3.4,中国A股重要股东增减持,AShareMjrHolderTrade,变动数量,TRANSACT_QUANTITY,"NUMBER(20,4)",,
1.3.4,中国A股重要股东增减持,AShareMjrHolderTrade,变动数量占流通量比例(%),TRANSACT_QUANTITY_RATIO,"NUMBER(20,4)",,
1.3.4,中国A股重要股东增减持,AShareMjrHolderTrade,最新持有流通数量,HOLDER_QUANTITY_NEW,"NUMBER(20,4)",,增减持后持有证券的数量
1.3.4,中国A股重要股东增减持,AShareMjrHolderTrade,最新持有流通数量占流通量比例(%),HOLDER_QUANTITY_NEW_RATIO,"NUMBER(20,4)",,
1.3.4,中国A股重要股东增减持,AShareMjrHolderTrade,平均价格,AVG_PRICE,"NUMBER(20,4)",,
1.3.4,中国A股重要股东增减持,AShareMjrHolderTrade,是否约定购回式交易,WHETHER_AGREED_REPUR_TRANS,"NUMBER(1,0)",,"1:是约定购回式交易,0:不是约定购回式交易"
